Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
164000 	358.430954	0.000000	63.834057	-108.057535	0.000000	0.000000	0.000000	-17.749013	-56.017409	0.000000	-63.647935	-30656.692140	0.000000	0.000000	0.000000	0.000000	-30479.899022
164000 	358.430954	0.000000	63.834057	-108.057535	0.000000	0.000000	0.000000	-17.749013	-56.017409	0.000000	-63.647935	-30656.692140	0.000000	0.000000	0.000000	0.000000	-30479.899022
168000 	308.356502	0.000000	64.929792	-101.430730	0.000000	0.000000	0.000000	-7.161049	-53.267922	0.000000	-53.394348	-30983.561820	0.000000	0.000000	0.000000	0.000000	-30825.529574
168000 	308.356502	0.000000	64.929792	-101.430730	0.000000	0.000000	0.000000	-7.161049	-53.267922	0.000000	-53.394348	-30983.561820	0.000000	0.000000	0.000000	0.000000	-30825.529574
172000 	303.805184	0.000000	47.345603	-110.948932	0.000000	0.000000	0.000000	-12.924675	-52.960003	0.000000	-56.711158	-31143.392376	0.000000	0.000000	0.000000	0.000000	-31025.786358
172000 	303.805184	0.000000	47.345603	-110.948932	0.000000	0.000000	0.000000	-12.924675	-52.960003	0.000000	-56.711158	-31143.392376	0.000000	0.000000	0.000000	0.000000	-31025.786358
176000 	296.566810	0.000000	53.320836	-101.971815	0.000000	0.000000	0.000000	-9.240536	-53.572205	0.000000	-65.023027	-31280.100047	0.000000	0.000000	0.000000	0.000000	-31160.019983
176000 	296.566810	0.000000	53.320836	-101.971815	0.000000	0.000000	0.000000	-9.240536	-53.572205	0.000000	-65.023027	-31280.100047	0.000000	0.000000	0.000000	0.000000	-31160.019983
180000 	315.083347	0.000000	58.823295	-112.039897	0.000000	0.000000	0.000000	-7.918713	-54.568637	0.000000	-55.353424	-30696.319688	0.000000	0.000000	0.000000	0.000000	-30552.293718
180000 	315.083347	0.000000	58.823295	-112.039897	0.000000	0.000000	0.000000	-7.918713	-54.568637	0.000000	-55.353424	-30696.319688	0.000000	0.000000	0.000000	0.000000	-30552.293718
184000 	336.521367	0.000000	50.426956	-115.407713	0.000000	0.000000	0.000000	-14.781312	-56.801438	0.000000	-54.812730	-31385.393202	0.000000	0.000000	0.000000	0.000000	-31240.248072
184000 	336.521367	0.000000	50.426956	-115.407713	0.000000	0.000000	0.000000	-14.781312	-56.801438	0.000000	-54.812730	-31385.393202	0.000000	0.000000	0.000000	0.000000	-31240.248072
188000 	349.213563	0.000000	50.453341	-115.383100	0.000000	0.000000	0.000000	-13.686336	-53.788237	0.000000	-59.693730	-30931.665306	0.000000	0.000000	0.000000	0.000000	-30774.549805
188000 	349.213563	0.000000	50.453341	-115.383100	0.000000	0.000000	0.000000	-13.686336	-53.788237	0.000000	-59.693730	-30931.665306	0.000000	0.000000	0.000000	0.000000	-30774.549805
192000 	272.336864	0.000000	57.177632	-101.767140	0.000000	0.000000	0.000000	-25.542881	-55.595923	0.000000	-60.527366	-30781.548516	0.000000	0.000000	0.000000	0.000000	-30695.467332
192000 	272.336864	0.000000	57.177632	-101.767140	0.000000	0.000000	0.000000	-25.542881	-55.595923	0.000000	-60.527366	-30781.548516	0.000000	0.000000	0.000000	0.000000	-30695.467332
196000 	238.593873	0.000000	56.247665	-111.566080	0.000000	0.000000	0.000000	-24.631176	-54.662475	0.000000	-62.904328	-30950.896543	0.000000	0.000000	0.000000	0.000000	-30909.819062
196000 	238.593873	0.000000	56.247665	-111.566080	0.000000	0.000000	0.000000	-24.631176	-54.662475	0.000000	-62.904328	-30950.896543	0.000000	0.000000	0.000000	0.000000	-30909.819062
200000 	291.848443	0.000000	58.735709	-112.550484	0.000000	0.000000	0.000000	-20.619531	-53.752474	0.000000	-67.460848	-32110.297158	0.000000	0.000000	0.000000	0.000000	-32014.096344
200000 	291.848443	0.000000	58.735709	-112.550484	0.000000	0.000000	0.000000	-20.619531	-53.752474	0.000000	-67.460848	-32110.297158	0.000000	0.000000	0.000000	0.000000	-32014.096344
204000 	328.905276	0.000000	73.456251	-122.728167	0.000000	0.000000	0.000000	-20.628043	-53.855660	0.000000	-70.315396	-31417.090341	0.000000	0.000000	0.000000	0.000000	-31282.256080
204000 	328.905276	0.000000	73.456251	-122.728167	0.000000	0.000000	0.000000	-20.628043	-53.855660	0.000000	-70.315396	-31417.090341	0.000000	0.000000	0.000000	0.000000	-31282.256080
208000 	348.994660	0.000000	47.075891	-114.203592	0.000000	0.000000	0.000000	-21.957462	-55.565317	0.000000	-68.537962	-31934.224689	0.000000	0.000000	0.000000	0.000000	-31798.418470
208000 	348.994660	0.000000	47.075891	-114.203592	0.000000	0.000000	0.000000	-21.957462	-55.565317	0.000000	-68.537962	-31934.224689	0.000000	0.000000	0.000000	0.000000	-31798.418470
212000 	350.187300	0.000000	57.472760	-120.509267	0.000000	0.000000	0.000000	-18.374879	-54.242491	0.000000	-57.215700	-29963.534108	0.000000	0.000000	0.000000	0.000000	-29806.216384
212000 	350.187300	0.000000	57.472760	-120.509267	0.000000	0.000000	0.000000	-18.374879	-54.242491	0.000000	-57.215700	-29963.534108	0.000000	0.000000	0.000000	0.000000	-29806.216384
216000 	336.140281	0.000000	62.230502	-113.634598	0.000000	0.000000	0.000000	-17.843841	-53.868322	0.000000	-64.127277	-31035.315748	0.000000	0.000000	0.000000	0.000000	-30886.419003
216000 	336.140281	0.000000	62.230502	-113.634598	0.000000	0.000000	0.000000	-17.843841	-53.868322	0.000000	-64.127277	-31035.315748	0.000000	0.000000	0.000000	0.000000	-30886.419003
220000 	298.650932	0.000000	59.373138	-113.138699	0.000000	0.000000	0.000000	-19.903391	-54.663087	0.000000	-75.315144	-30794.410537	0.000000	0.000000	0.000000	0.000000	-30699.406787
220000 	298.650932	0.000000	59.373138	-113.138699	0.000000	0.000000	0.000000	-19.903391	-54.663087	0.000000	-75.315144	-30794.410537	0.000000	0.000000	0.000000	0.000000	-30699.406787
224000 	273.110547	0.000000	52.135915	-103.841918	0.000000	0.000000	0.000000	-24.424670	-55.433440	0.000000	-81.458802	-32156.372044	0.000000	0.000000	0.000000	0.000000	-32096.284413
224000 	273.110547	0.000000	52.135915	-103.841918	0.000000	0.000000	0.000000	-24.424670	-55.433440	0.000000	-81.458802	-32156.372044	0.000000	0.000000	0.000000	0.000000	-32096.284413
228000 	344.350854	0.000000	41.658350	-118.230958	0.000000	0.000000	0.000000	-24.889688	-55.182407	0.000000	-68.797509	-31899.133001	0.000000	0.000000	0.000000	0.000000	-31780.224359
228000 	344.350854	0.000000	41.658350	-118.230958	0.000000	0.000000	0.000000	-24.889688	-55.182407	0.000000	-68.797509	-31899.133001	0.000000	0.000000	0.000000	0.000000	-31780.224359
232000 	341.271523	0.000000	55.062883	-112.439117	0.000000	0.000000	0.000000	-30.832713	-55.658788	0.000000	-75.010790	-31811.839030	0.000000	0.000000	0.000000	0.000000	-31689.446031
232000 	341.271523	0.000000	55.062883	-112.439117	0.000000	0.000000	0.000000	-30.832713	-55.658788	0.000000	-75.010790	-31811.839030	0.000000	0.000000	0.000000	0.000000	-31689.446031
236000 	320.518578	0.000000	47.577810	-121.236426	0.000000	0.000000	0.000000	-22.900913	-56.045842	0.000000	-77.356503	-31555.124955	0.000000	0.000000	0.000000	0.000000	-31464.568251
236000 	320.518578	0.000000	47.577810	-121.236426	0.000000	0.000000	0.000000	-22.900913	-56.045842	0.000000	-77.356503	-31555.124955	0.000000	0.000000	0.000000	0.000000	-31464.568251
240000 	241.440632	0.000000	62.023787	-115.008799	0.000000	0.000000	0.000000	-29.994302	-55.298209	0.000000	-68.331274	-30633.251577	0.000000	0.000000	0.000000	0.000000	-30598.419741
240000 	241.440632	0.000000	62.023787	-115.008799	0.000000	0.000000	0.000000	-29.994302	-55.298209	0.000000	-68.331274	-30633.251577	0.000000	0.000000	0.000000	0.000000	-30598.419741
244000 	313.555147	0.000000	51.422126	-116.979998	0.000000	0.000000	0.000000	-31.706039	-54.194315	0.000000	-70.367612	-31416.775340	0.000000	0.000000	0.000000	0.000000	-31325.046030
244000 	313.555147	0.000000	51.422126	-116.979998	0.000000	0.000000	0.000000	-31.706039	-54.194315	0.000000	-70.367612	-31416.775340	0.000000	0.000000	0.000000	0.000000	-31325.046030
248000 	275.940442	0.000000	59.212490	-101.217461	0.000000	0.000000	0.000000	-27.808202	-55.132247	0.000000	-69.067021	-31416.424329	0.000000	0.000000	0.000000	0.000000	-31334.496328
248000 	275.940442	0.000000	59.212490	-101.217461	0.000000	0.000000	0.000000	-27.808202	-55.132247	0.000000	-69.067021	-31416.424329	0.000000	0.000000	0.000000	0.000000	-31334.496328
252000 	364.562918	0.000000	44.748157	-121.667457	0.000000	0.000000	0.000000	-24.701274	-55.592483	0.000000	-65.467811	-31295.537059	0.000000	0.000000	0.000000	0.000000	-31153.655009
252000 	364.562918	0.000000	44.748157	-121.667457	0.000000	0.000000	0.000000	-24.701274	-55.592483	0.000000	-65.467811	-31295.537059	0.000000	0.000000	0.000000	0.000000	-31153.655009
256000 	260.646185	0.000000	54.305533	-108.155582	0.000000	0.000000	0.000000	-29.275990	-57.248946	0.000000	-77.842814	-31695.960058	0.000000	0.000000	0.000000	0.000000	-31653.531673
256000 	260.646185	0.000000	54.305533	-108.155582	0.000000	0.000000	0.000000	-29.275990	-57.248946	0.000000	-77.842814	-31695.960058	0.000000	0.000000	0.000000	0.000000	-31653.531673
260000 	263.830690	0.000000	49.400643	-112.998687	0.000000	0.000000	0.000000	-32.484287	-54.354902	0.000000	-71.505394	-31679.969455	0.000000	0.000000	0.000000	0.000000	-31638.081391
260000 	263.830690	0.000000	49.400643	-112.998687	0.000000	0.000000	0.000000	-32.484287	-54.354902	0.000000	-71.505394	-31679.969455	0.000000	0.000000	0.000000	0.000000	-31638.081391
264000 	272.844620	0.000000	59.424420	-123.119429	0.000000	0.000000	0.000000	-23.777494	-54.203131	0.000000	-71.669369	-31554.669147	0.000000	0.000000	0.000000	0.000000	-31495.169530
264000 	272.844620	0.000000	59.424420	-123.119429	0.000000	0.000000	0.000000	-23.777494	-54.203131	0.000000	-71.669369	-31554.669147	0.000000	0.000000	0.000000	0.000000	-31495.169530
268000 	228.765915	0.000000	65.142395	-106.888609	0.000000	0.000000	0.000000	-21.351731	-55.898184	0.000000	-67.974224	-31231.447360	0.000000	0.000000	0.000000	0.000000	-31189.651796
268000 	228.765915	0.000000	65.142395	-106.888609	0.000000	0.000000	0.000000	-21.351731	-55.898184	0.000000	-67.974224	-31231.447360	0.000000	0.000000	0.000000	0.000000	-31189.651796
272000 	278.873607	0.000000	61.406024	-114.062894	0.000000	0.000000	0.000000	-21.209747	-55.884941	0.000000	-67.582186	-30772.905690	0.000000	0.000000	0.000000	0.000000	-30691.365827
272000 	278.873607	0.000000	61.406024	-114.062894	0.000000	0.000000	0.000000	-21.209747	-55.884941	0.000000	-67.582186	-30772.905690	0.000000	0.000000	0.000000	0.000000	-30691.365827
276000 	326.073449	0.000000	70.947917	-109.483653	0.000000	0.000000	0.000000	-19.108625	-55.057752	0.000000	-69.357023	-31049.248462	0.000000	0.000000	0.000000	0.000000	-30905.234149
276000 	326.073449	0.000000	70.947917	-109.483653	0.000000	0.000000	0.000000	-19.108625	-55.057752	0.000000	-69.357023	-31049.248462	0.000000	0.000000	0.000000	0.000000	-30905.234149
